"X","Y","name"
-60.7792233,-32.9218466,"Intersection 440"
-60.7792212,-32.9164496,"Intersection 441"
-60.7792042,-32.916413,"Intersection 442"
-60.7791962,-32.9130509,"Intersection 443"
-60.7791828,-32.9162676,"Intersection 444"
-60.7791768,-32.9156039,"Intersection 445"
-60.7791587,-32.9215271,"Intersection 446"
-60.7791586,-32.9163155,"Intersection 447"
-60.7791425,-32.9162812,"Intersection 448"
-60.7791422,-32.9214375,"Intersection 449"
-60.7791329,-33.0007059,"Intersection 450"
-60.7791307,-32.9968881,"Intersection 451"
-60.7791283,-32.9162507,"Intersection 452"
-60.7791124,-32.9161166,"Intersection 453"
-60.7791105,-32.9212652,"Intersection 454"
-60.7790978,-32.9665024,"Intersection 455"
-60.7790851,-32.9161584,"Intersection 456"
-60.7790847,-32.9477132,"Intersection 457"
-60.7790769,-32.9667857,"Intersection 458"
-60.7790755,-32.9910594,"Intersection 459"
-60.7790718,-32.9161301,"Intersection 460"
-60.7790531,-32.912736,"Intersection 461"
-60.779048,-32.9536135,"Intersection 462"
-60.7790437,-32.9536528,"Intersection 463"
-60.7790326,-32.9537535,"Intersection 464"
-60.7790262,-32.9698262,"Intersection 465"
-60.7790118,-32.9700163,"Intersection 466"
-60.7789813,-32.9152995,"Intersection 467"
-60.7789677,-32.9159879,"Intersection 468"
-60.7789471,-32.9170143,"Intersection 469"
-60.7789143,-32.9124306,"Intersection 470"
-60.778901,-32.9602855,"Intersection 471"
-60.7788999,-32.9955967,"Intersection 472"
-60.778898,-32.9153258,"Intersection 473"
-60.7788966,-32.9169099,"Intersection 474"
-60.7788758,-32.9555275,"Intersection 475"
-60.7788656,-32.9182427,"Intersection 476"
-60.778847,-32.9160299,"Intersection 477"
-60.7788375,-32.9045825,"Intersection 478"
-60.7788326,-32.9185019,"Intersection 479"
-60.7788241,-32.9167603,"Intersection 480"
-60.7788004,-32.9219001,"Intersection 481"
-60.7787952,-32.9224015,"Intersection 482"
-60.7787864,-32.9576725,"Intersection 483"
-60.7787855,-32.945826,"Intersection 484"
-60.7787797,-32.9158866,"Intersection 485"
-60.7787736,-32.9121212,"Intersection 486"
-60.7787659,-32.9539065,"Intersection 487"
-60.7787554,-32.9537419,"Intersection 488"
-60.778749,-32.9536407,"Intersection 489"
-60.7787479,-32.9166029,"Intersection 490"
-60.7787464,-32.9536005,"Intersection 491"
-60.7787317,-32.9533687,"Intersection 492"
-60.7787261,-32.9157725,"Intersection 493"
-60.7787152,-32.9139175,"Intersection 494"
-60.778714,-32.9157469,"Intersection 495"
-60.778713,-32.9239747,"Intersection 496"
-60.778711,-32.9990109,"Intersection 497"
-60.7786971,-32.9459103,"Intersection 498"
-60.7786761,-32.9524881,"Intersection 499"
-60.7786698,-32.9164416,"Intersection 500"
-60.7786533,-32.960276,"Intersection 501"
-60.778644,-32.9155977,"Intersection 502"
-60.7786414,-32.9458747,"Intersection 503"
-60.778635,-32.9118161,"Intersection 504"
-60.7786258,-32.9943151,"Intersection 505"
-60.7786107,-32.915527,"Intersection 506"
-60.778594,-32.9162881,"Intersection 507"
-60.7785797,-32.9617168,"Intersection 508"
-60.7785775,-32.9192878,"Intersection 509"
-60.7785738,-32.9193246,"Intersection 510"
-60.7785702,-32.9186341,"Intersection 511"
-60.7785688,-32.9187901,"Intersection 512"
-60.7785667,-32.9154333,"Intersection 513"
-60.7785599,-33.0015156,"Intersection 514"
-60.7785231,-32.9161425,"Intersection 515"
-60.778511,-32.9184988,"Intersection 516"
-60.7785097,-32.9186334,"Intersection 517"
-60.7784747,-32.9188151,"Intersection 518"
-60.7784672,-33.0016422,"Intersection 519"
-60.7784656,-32.9919138,"Intersection 520"
-60.7784554,-32.9160005,"Intersection 521"
-60.7784549,-32.9238826,"Intersection 522"
-60.7784544,-32.9183745,"Intersection 523"
-60.7784526,-32.9184693,"Intersection 524"
-60.7784507,-32.9184978,"Intersection 525"
-60.7784502,-32.9183443,"Intersection 526"
-60.7784363,-32.9535873,"Intersection 527"
-60.7784335,-32.9536277,"Intersection 528"
